,0,1,2,3,4,5,6,7,8,9,10,11,12
Hidalgo,"{'Link': 'https://www.jornada.com.mx/2025/03/25/ciencias/a06n1cie', 'Title': 'Modelo de predicción del clima con IA revoluciona la meteorología', 'Source': 'La Jornada', 'Date': 'hace 16 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,
Estado de México,"{'Link': 'https://www.jornada.com.mx/2025/03/25/ciencias/a06n1cie', 'Title': 'Modelo de predicción del clima con IA revoluciona la meteorología', 'Source': 'La Jornada', 'Date': 'hace 16 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,
Morelos,"{'Link': 'https://www.jornada.com.mx/2025/03/25/ciencias/a06n1cie', 'Title': 'Modelo de predicción del clima con IA revoluciona la meteorología', 'Source': 'La Jornada', 'Date': 'hace 16 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Mazamitla-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0020.html', 'Title': 'Clima en Mazamitla hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-El-Salto-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0022.html', 'Title': 'Clima en El Salto hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Puerto-Vallarta-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0018.html', 'Title': 'Clima en Puerto Vallarta hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlajomulco-de-Zuniga-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0015.html', 'Title': 'Clima en Tlajomulco de Zúñiga hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tapalpa-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0017.html', 'Title': 'Clima en Tapalpa hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlaquepaque-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0014.html', 'Title': 'Clima en Tlaquepaque hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Ciudad-de-Mexico-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0010.html', 'Title': 'Clima en Ciudad de México hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Cancun-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0011.html', 'Title': 'Clima en Cancún hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Chapala-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0023.html', 'Title': 'Clima en Chapala hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}",,
Veracruz,"{'Link': 'https://www.jornada.com.mx/2025/03/25/ciencias/a06n1cie', 'Title': 'Modelo de predicción del clima con IA revoluciona la meteorología', 'Source': 'La Jornada', 'Date': 'hace 16 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,
Zacatecas,"{'Link': 'https://www.jornada.com.mx/2025/03/25/ciencias/a06n1cie', 'Title': 'Modelo de predicción del clima con IA revoluciona la meteorología', 'Source': 'La Jornada', 'Date': 'hace 16 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,
Ciudad de México,"{'Link': 'https://www.informador.mx/jalisco/Clima-en-Mazamitla-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0020.html', 'Title': 'Clima en Mazamitla hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-El-Salto-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0022.html', 'Title': 'Clima en El Salto hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Puerto-Vallarta-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0018.html', 'Title': 'Clima en Puerto Vallarta hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlajomulco-de-Zuniga-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0015.html', 'Title': 'Clima en Tlajomulco de Zúñiga hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tapalpa-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0017.html', 'Title': 'Clima en Tapalpa hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlaquepaque-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0014.html', 'Title': 'Clima en Tlaquepaque hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-Guadalajara-Onda-de-calor-afecta-la-temperatura-del-AMG-20250325-0067.html', 'Title': 'Clima Guadalajara: Onda de calor afecta la temperatura del AMG', 'Source': 'El Informador', 'Date': 'hace 11 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Ciudad-de-Mexico-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0010.html', 'Title': 'Clima en Ciudad de México hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Cancun-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0011.html', 'Title': 'Clima en Cancún hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Chapala-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0023.html', 'Title': 'Clima en Chapala hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}"
Jalisco,"{'Link': 'https://www.informador.mx/jalisco/Clima-en-Mazamitla-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0020.html', 'Title': 'Clima en Mazamitla hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-El-Salto-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0022.html', 'Title': 'Clima en El Salto hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Puerto-Vallarta-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0018.html', 'Title': 'Clima en Puerto Vallarta hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlajomulco-de-Zuniga-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0015.html', 'Title': 'Clima en Tlajomulco de Zúñiga hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tapalpa-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0017.html', 'Title': 'Clima en Tapalpa hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Tlaquepaque-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0014.html', 'Title': 'Clima en Tlaquepaque hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-Guadalajara-Onda-de-calor-afecta-la-temperatura-del-AMG-20250325-0067.html', 'Title': 'Clima Guadalajara: Onda de calor afecta la temperatura del AMG', 'Source': 'El Informador', 'Date': 'hace 11 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Ciudad-de-Mexico-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0010.html', 'Title': 'Clima en Ciudad de México hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-en-Cancun-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0011.html', 'Title': 'Clima en Cancún hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-en-Chapala-hoy-el-pronostico-para-el-martes-25-de-marzo-de-2025-20250325-0023.html', 'Title': 'Clima en Chapala hoy: el pronóstico para el martes 25 de marzo de 2025', 'Source': 'El Informador', 'Date': 'hace 18 horas'}",
Aguascalientes,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Baja California,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.meteored.mx/clima_Surfontaine-Europa-Francia-Aisne--1-36723.html', 'Title': 'Clima en Surfontaine. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}","{'Link': 'https://www.meteored.mx/clima_Sofyino-Europa-Rusia-Oblast+de+Ulianovsk--1-253616.html', 'Title': 'Clima en Sofyino. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}",,,,,,,,,,
Baja California Sur,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
